id,status_2009,status_2014,status_2017,income_2009,income_2014,log_age_2009,log_age_2014,strength_2009,strength_2014
1,4,4,3,5,5,1.68,1.72,-1.544597663,-1.096100876
2,10,10,10,7,7,1.6,1.65,2.098349239,1.979162984
3,7,9,9,9,9,1.28,1.61,-0.305491291,-0.428298668
4,6,3,6,5,5,1.73,1.77,-0.83781734,-0.835265106
5,3,1,4,4,4,1.23,1.34,0.053056812,-0.158842288
6,9,8,7,4,4,1.63,1.68,1.363966372,1.257906259
7,6,4,5,2,2,1.81,1.83,-0.251259593,-0.428644784
8,2,1,1,3,3,1.23,1.34,-0.611187244,-0.567240884
9,8,9,10,10,10,1.46,1.53,-0.777576386,-0.855160559
10,8,8,9,6,6,1.51,1.57,-0.285489123,-0.287448116
11,8,7,8,2,2,1.63,1.68,-0.039639011,-0.497568522
12,5,4,6,3,3,1.28,1.38,-0.602508367,-0.338526431
13,7,9,7,1,1,1.57,1.62,0.637455708,0.429182928
14,9,8,3,5,5,1.61,1.66,-1.09728697,-0.764882922
15,4,3,6,3,3,1.67,1.72,-0.137935051,-0.316643498
16,6,3,5,1,1,1.51,1.57,0.271681588,-0.261810839
17,5,7,7,6,6,1.43,1.51,1.401941852,1.466163791
18,2,5,6,8,8,1.41,1.49,-0.65687396,-0.43373011
19,6,5,9,1,1,1.36,1.45,0.402850973,0.20075993
20,1,2,3,6,6,1.34,1.43,0.43924797,0.83983563
21,2,1,2,2,2,1.32,1.41,-0.001258067,-0.270805773
22,9,7,8,3,3,1.78,1.81,-0.342072793,-0.481213928
23,1,1,1,2,2,1.4,1.51,-0.74532947,-0.662672844
24,5,4,2,7,7,1.34,1.48,0.11310351,0.30253609
25,10,10,9,10,10,1.57,1.62,0.592783539,0.248038936
26,9,10,10,8,8,1.46,1.53,-0.344971223,-0.583396917
27,10,10,10,5,5,1.54,1.6,1.555805522,2.330190982
28,2,2,2,1,1,1.46,1.53,-0.714072498,-0.527696636
29,3,2,2,4,4,1.65,1.7,-0.135771321,-0.123597543
30,9,10,10,4,4,1.53,1.59,0.697084782,1.053306182
31,10,10,10,10,10,1.65,1.7,0.586847581,0.198966134
32,7,7,8,6,6,1.26,1.36,0.238798731,0.140717148
33,5,6,5,10,10,1.41,1.49,-0.091231662,0.186699148
34,7,8,7,3,3,1.67,1.72,1.471429514,1.208902264
35,5,7,5,4,4,1.52,1.58,-0.281316273,-0.491745135
36,8,8,8,6,6,1.73,1.74,-1.492684122,-1.107104167
37,7,8,9,10,10,1.38,1.46,0.910744757,0.00261723
38,3,8,7,8,8,1.34,1.43,0.441934742,0.69772398
39,10,9,10,8,8,1.62,1.67,0.578171409,0.901399218
40,4,2,5,6,6,1.38,1.46,0.672863425,0.33353448
41,3,2,3,5,5,1.3,1.4,0.143050176,0.142401539
42,4,3,2,5,5,1.26,1.36,-0.55680148,-0.591082997
43,3,3,2,5,5,1.2,1.32,-0.290525675,-0.36489527
44,6,3,5,7,7,1.57,1.68,-0.42189503,-0.627224572
45,6,5,7,6,6,1.26,1.36,0.334922639,0.251637172
46,4,2,4,3,3,1.6,1.65,0.201085522,0.123268068
47,7,8,8,2,2,1.76,1.8,-0.032518588,-0.218615314
48,10,10,10,4,4,1.48,1.54,1.387606042,1.665585526
49,3,5,6,9,9,1.4,1.48,-0.219470507,-0.765938371
50,2,4,6,1,1,1.36,1.45,-0.02079648,0.474310037
51,6,4,7,6,6,1.28,1.38,0.125206012,0.030163212
52,8,9,9,10,10,1.53,1.59,0.480976172,0.363400944
53,5,6,6,2,2,1.52,1.58,-1.021380117,-1.127674229
54,4,6,5,8,8,1.71,1.76,0.389526188,0.063983319
55,6,6,7,10,10,1.3,1.4,0.930842757,0.680414889
56,9,9,9,9,9,1.46,1.53,-0.373494889,-0.506710641
57,7,6,8,5,5,1.7,1.74,0.510575719,0.497111153
58,7,6,9,9,9,1.34,1.43,0.315655048,0.434572392
59,5,3,8,6,6,1.26,1.36,0.196296701,0.045622055
60,10,10,10,9,9,1.67,1.72,0.436955949,0.263727158
61,6,7,8,4,4,1.45,1.52,0.344152797,0.544087853
62,8,9,7,7,7,1.52,1.58,-0.205228733,-0.246787784
63,3,2,5,1,1,1.86,1.89,-1.062853766,-1.29376723
64,5,3,6,5,5,1.38,1.46,1.136588729,0.711735942
65,3,2,1,3,3,1.32,1.41,-0.972931181,-0.549350121
66,4,4,3,3,3,1.72,1.76,-0.063540199,-0.355924037
67,2,3,3,5,5,1.67,1.72,-0.857441575,-0.667228787
68,6,5,8,9,9,1.38,1.46,-0.615486614,-0.979072757
69,3,7,5,7,7,1.46,1.49,0.03203768,-0.656619977
70,5,6,4,6,6,1.6,1.65,-0.978596967,-1.109219345
71,6,6,7,10,10,1.2,1.32,-0.307188158,-0.555876791
72,6,5,6,7,7,1.32,1.41,0.80788742,0.798311902
73,4,1,4,8,8,1.57,1.61,0.306725286,-0.457317284
74,5,4,4,5,5,1.45,1.57,-0.135297315,-0.287956189
